Статья КоАП РФ;Часть;Вид правонарушения;Санкция
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 3.1;Остановка или стоянка транспортных средств в местах остановки маршрутных транспортных средств или ближе 15 метров от них;штраф 1000 руб.; задержание т/с помещение на спецстоянку
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 3.2;Остановка или стоянка транспортных средств на трамвайных путях либо далее первого ряда от края проезжей части;штраф 1500 руб.; задержание т/с помещение на спецстоянку
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 4;Нарушение правил остановки или стоянки транспортных средств на проезжей части повлекшее создание препятствий для движения других транспортных средств а равно остановка или стоянка в тоннеле;штраф 2000 руб.; задержание т/с помещение на спецстоянку
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 5;Нарушение предусмотренное ч. 1 совершенное в Москве или Санкт-Петербурге;штраф 2500 руб.
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 6;Нарушения предусмотренные ч. 3-4 совершенные в Москве или Санкт-Петербурге;штраф 3000 руб.; задержание т/с помещение на спецстоянку
Статья 12.20 Нарушение правил пользования внешними световыми приборами звуковыми сигналами аварийной сигнализацией или знаком аварийной остановки;;Нарушение правил пользования внешними световыми приборами звуковыми сигналами аварийной сигнализацией или знаком аварийной остановки;предупреждение или штраф 500 руб.
Статья 12.21 Нарушение правил перевозки грузов правил буксировки;ч. 1;Нарушение правил перевозки грузов а равно правил буксировки;предупреждение или штраф 500 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 1;Движение крупногабаритного транспортного средства с превышением допустимых габаритов на величину не более 10 см без специального разрешения либо с превышением габаритов указанных в специальном разрешении на величину не более 10 см;штраф для собственника (владельца) транспортного средства 150 000 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 4;Движение тяжеловесного и (или) крупногабаритного транспортного средства с превышением допустимых габаритов на величину более 10 но не более 20 см или с превышением допустимой массы или нагрузки на ось на величину более 10 но не более 20% без специального разрешения;штраф для собственника 300 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 5;Движение тяжеловесного и (или) крупногабаритного транспортного средства с превышением допустимых габаритов на величину более 20 но не более 50 см или с превышением допустимой массы или нагрузки на ось на величину более 20 но не более 50% без специального разрешения;штраф для собственника 450 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 6;Движение тяжеловесного и (или) крупногабаритного транспортного средства с превышением допустимых габаритов на величину более 50 см или с превышением допустимой массы или нагрузки на ось на величину более 50% без специального разрешения;штраф для собственника 600 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 7;Нарушение правил движения тяжеловесных и (или) крупногабаритных транспортных средств за исключением случаев предусмотренных ч. 1-6;штраф для водителя 1500-2250 руб.; для должностных лиц ответственных за перевозку 7500-150 тыс. руб.; для юридических лиц 75 тыс.-150 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 8;Предоставление грузоотправителем недостоверных сведений о массе или габаритах груза если это повлекло нарушение предусмотренное ч. 1 или 4;штраф для граждан 2250-3000 руб.; для должностных лиц 22 500-30 000 руб.; для юридических лиц 300 тыс.-450 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 9;Предоставление грузоотправителем недостоверных сведений о массе или габаритах груза если это повлекло нарушение предусмотренное ч. 5 или 6;штраф для граждан 7500 руб.; для должностных лиц 37 500-52 500 руб.; для юридических лиц 525 тыс.-600 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 10;Превышение допустимой массы и (или) нагрузки на ось юридическими лицами или индивидуальными предпринимателями осуществившими погрузку груза в транспортное средство;штраф для ИП 120 тыс.-150 тыс. руб.; для юридических лиц 375 тыс.-600 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 11;Несоблюдение требований предписанных дорожными знаками запрещающими движение транспортных средств общая фактическая масса или нагрузка на ось которых превышает указанные на знаке без специального разрешения;штраф для водителя 7500 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 12;Невыполнение законного требования уполномоченного должностного лица о прохождении весового и габаритного контроля транспортного средства либо отказ или уклонение от выполнения указанного требования;штраф для собственника (владельца) транспортного средства 600 000 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 13;Движение транспортного средства имеющего разрешенную максимальную массу свыше 3,5 тонны с нарушением требований в зоне автоматического весового и габаритного контроля транспортных средств;штраф для собственника (владельца) транспортного средства 600 000 руб.
Статья 12.21.2 Нарушение правил перевозки опасных грузов;ч. 1;Перевозка опасных грузов водителем не имеющим свидетельства о подготовке водителей транспортных средств перевозящих опасные грузы а равно перевозка опасных грузов на транспортном средстве конструкция которого не соответствует требованиям;штраф для водителя 2000-2500 руб. или лишение прав на 4-6 месяцев; для должностных лиц 15 тыс.-20 тыс. руб.; для юридических лиц 400 тыс.-500 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.2 Нарушение правил перевозки опасных грузов;ч. 2;Нарушение правил перевозки опасных грузов за исключением случаев предусмотренных ч. 1;штраф для водителя 1000-1500 руб.; для должностных лиц 5 тыс.-10 тыс. руб.; для юридических лиц 150 тыс.-250 тыс. руб.
